collaped_address,num_associated,latitude,longitude
100 VICTORIA LINKWAY,1,43.61593765,-79.321369
1100 DE GRASSI ST,1,43.61593765,-79.321369
200o UXBRIDGE AVE,1,43.61593765,-79.321369
400 WINDERMERE,2,43.61593765,-79.321369
300 CARLINGTON DR,1,43.61593765,-79.321369
100 CAMDEN STREET,4,43.61593765,-79.321369
200 PLEASANT BLVD,19,43.61593765,-79.321369
800 QUEBEC AVE,1,43.61593765,-79.321369
100 GRANDRAVINED R,3,43.61593765,-79.321369
2100 LAKESHORE BLVD WEST,2,43.61593765,-79.321369
1200 ELLINGTON DR,1,43.61593765,-79.321369
600 MELITA CT,1,43.61593765,-79.321369
100 CARMEL COURT,1,43.61593765,-79.321369
400 SIDNEY BELSEY BLVD.,1,43.61593765,-79.321369
300.100 KENILWORTH AVE,1,43.61593765,-79.321369
100 PARKWAY FOREST PK,1,43.61593765,-79.321369
100 HENRY LANE DR,1,43.61593765,-79.321369
600 ADELIDA ST E,1,43.61593765,-79.321369
100 MILTON RD,16,43.61593765,-79.321369
200 SEMINOLE AVE,9,43.61593765,-79.321369
1800 ELIZABETH ST,1,43.61593765,-79.321369
100 BRNEL CRT,1,43.61593765,-79.321369
100 MRONELLE COURT,1,43.61593765,-79.321369
1000  KENNEDY RD,1,43.61593765,-79.321369
2100 BAVYIEW AVE,1,43.61593765,-79.321369
r2600 YONGE ST,1,43.61593765,-79.321369
300 FRONT ST,5,43.61593765,-79.321369
100 WESSESLEY ST. E.,1,43.61593765,-79.321369
100 WELLESLET ST E,1,43.61593765,-79.321369
100 FOXWARREN DR,28,43.61593765,-79.321369
100 ST JANE ST,1,43.61593765,-79.321369
100A BOULTON AVE,1,43.61593765,-79.321369
1400-1400 ROYAL ROYAL RD,1,43.61593765,-79.321369
100 THORNCLIFEF PK DR,5,43.61593765,-79.321369
rw100 DANFORTH AVE,1,43.61593765,-79.321369
100 DENTON PLACE,1,43.61593765,-79.321369
vic100 VICTORIA ST,1,43.61593765,-79.321369
400 MURRAY ROSS,1,43.61593765,-79.321369
200 SHENDALE DR,4,43.61593765,-79.321369
2300 EGLINTON AV,7,43.61593765,-79.321369
400 SHERWAY DR,1,43.61593765,-79.321369
200 CARSBROOKE RD,21,43.61593765,-79.321369
